date,ore_extracted,equipment_workload,avg_processing_cost,pit_utilization_rate,production_intensity,operational_cost,haul_trips,safety_compliance_score,efficiency_index,operational_noise,revenue,profit,risk_zone,mine_region,shutdown_risk
1/22/2010,820.357.316.153.349,600.798.338.603.004,605.198.616.620.619,844.087.516.720.329,792.245.056.520.388,780.904.576.972.697,268.275.337.934.028,726.769.219.487.897,136.544.538.065.946,749.321.489.684.117,308.913.144.956.918,100.394.907.988.221,Medium Risk,Kalimantan,No
1/23/2010,599.434.801.641.165,463.934.771.839.884,395.190.551.683.772,638.241.476.286.376,595.516.359.884.465,422.549.885.465.526,904.747.168.743.052,784.639.706.671.657,999.058.002.735.275,-122.263.229.610.232,289.399.059.250.407,981.149.212.519.162,Low Risk,Sulawesi,No
1/24/2010,111.384.845.701.625,984.936.706.605.249,273.458.508.581.389,730.491.636.320.791,216.379.403.497.758,509.702.546.374.023,314.022.157.627.624,733.432.377.409.989,113.088.328.371.405,-401.838.752.045.582,409.147.042.477.572,133.969.792.570.521,Medium Risk,Papua,No
1/25/2010,85.867.722.548.058,839.284.938.847.535,550.369.156.561.792,77.615.449.543.653,741.143.301.557.545,506.761.264.402.325,101.818.794.126.157,770.159.997.989.896,102.310.572.457.034,-824.649.654.955.351,348.228.369.280.134,107.792.756.002.739,Low Risk,Kalimantan,No
1/26/2010,119.345.509.023.556,700.555.517.148.091,268.648.526.098.114,837.869.642.935.474,619.942.362.591.419,608.172.308.911.872,373.419.976.823.498,784.746.132.110.727,170.358.388.596.242,-290.722.706.193.512,458.897.700.048.963,16.203.022.117.024,Low Risk,Papua,No
1/27/2010,116.157.001.490.272,112.023.896.409.096,327.503.580.925.986,571.534.890.988.048,384.659.721.508.203,637.416.076.796.219,236.803.628.713.824,576.857.339.754.391,103.689.485.202.409,-12.558.551.351.031,406.507.994.178.582,149.461.205.488.303,Low Risk,Papua,No
1/28/2010,860.466.250.706.673,911.590.400.153.208,498.188.728.047.535,799.938.296.441.624,67.493.139.143.376,466.917.898.517.848,129.447.459.122.166,774.949.208.458.693,943.917.630.727.635,702.885.759.486.142,338.388.708.677.355,121.548.426.864.975,Medium Risk,Sulawesi,No
1/29/2010,966.159.069.119.531,974.236.960.410.824,578.945.355.331.525,746.580.753.480.059,657.731.647.093.443,420.628.011.664.838,161.540.916.971.862,827.524.430.757.639,991.708.494.319.609,-763.413.998.601.096,371.831.577.830.062,12.529.528.670.179,Medium Risk,Sulawesi,No
1/30/2010,116.061.321.757.113,12.085.671.268.808,574.766.793.493.181,717.375.305.335.803,715.612.981.247.486,638.552.873.352.754,225.594.358.141.534,820.496.915.891.113,960.321.683.220.503,-666.943.037.695.058,409.194.262.738.225,138.390.197.362.029,Medium Risk,Papua,No
1/31/2010,754.785.954.857.876,609.739.729.673.657,547.471.140.539.274,759.048.125.117.638,623.283.810.249.807,282.720.367.283.351,239.674.408.854.917,787.491.389.661.065,123.788.219.485.361,-155.559.926.568.667,342.041.572.018.972,111.781.679.031.267,Low Risk,Sulawesi,No
2/1/2010,879.950.564.610.259,821.787.186.161.409,354.604.157.991.707,656.500.271.038.047,515.816.620.492.368,423.873.276.999.428,329.799.275.344.703,650.307.547.772.832,107.077.669.185.928,-898.269.271.998.635,372.655.156.394.511,113.965.459.847.829,Medium Risk,Sulawesi,No
2/2/2010,80.414.975.654.249,769.854.300.358.817,254.110.943.998.676,942.096.294.476.204,421.867.002.664.283,493.003.601.138.739,405.605.261.810.124,866.373.977.614.697,104.454.798.286.856,151.390.909.159.774,354.165.348.793.747,114.680.771.913.286,Low Risk,Sulawesi,No
2/3/2010,909.900.824.698.824,628.019.677.575.126,294.086.188.699.584,704.133.978.936.195,579.807.907.906.908,594.644.405.405.207,352.221.949.319.355,852.426.100.978.525,144.884.126.594.899,-37.563.054.229.269,384.045.845.866.096,146.929.944.553.702,Low Risk,Papua,No
2/4/2010,882.837.906.308.974,452.557.346.131.502,198.096.882.980.317,781.245.769.019.292,657.374.363.598.588,457.203.996.716.988,187.373.706.910.294,899.699.605.952.776,147.139.651.051.496,-656.598.282.850.686,389.387.294.006.415,12.978.938.361.296,Medium Risk,Kalimantan,No
2/5/2010,105.962.687.491.324,930.585.740.425.112,629.825.222.771.615,723.288.627.908.038,273.682.379.381.617,590.173.096.990.798,294.164.106.671.233,640.399.867.191.894,113.866.657.190.468,-43.338.084.550.837,374.746.674.426.123,132.898.744.763.107,Low Risk,Sulawesi,No
2/6/2010,956.828.713.131.016,405.468.457.442.025,438.519.097.049.721,592.894.354.072.218,557.499.716.362.354,488.904.755.308.918,186.053.410.498.425,70.934.713.967.641,159.471.452.188.503,-219.828.323.045.529,369.191.532.070.058,117.002.582.117.162,Low Risk,Papua,No
2/7/2010,689.479.648.740.874,468.280.072.246.812,605.894.559.291.191,833.683.699.477.869,99.361.620.867.636,464.455.740.028.507,37.299.993.863.795,563.291.016.586.242,114.913.274.790.146,-770.461.488.034.515,347.690.119.119.816,106.139.784.099.268,Low Risk,Papua,No
2/8/2010,953.905.595.864.332,651.423.241.736.372,257.519.106.939.435,623.525.699.083.476,327.360.862.834.368,446.962.129.607.827,293.766.290.601.343,624.696.905.314.378,146.434.074.615.098,-780.938.363.608.707,400.630.526.717.982,156.988.791.148.215,Low Risk,Papua,No
2/9/2010,701.516.995.409.552,607.961.336.177.104,363.816.085.658.036,635.647.999.072.521,529.366.142.432.116,697.691.504.824.469,143.469.914.754.387,735.383.406.732.295,115.388.422.530.408,-156.460.048.305.759,273.767.790.108.105,NA,Low Risk,Papua,No
2/10/2010,64.169.430.562.778,759.554.438.250.173,555.076.872.175.559,625.061.133.765.112,504.199.688.471.413,653.841.252.028.093,226.849.878.325.593,662.379.979.904.841,844.829.907.262.588,800.386.733.732.109,274.482.525.698.438,956.702.053.675.155,Low Risk,Kalimantan,No
2/11/2010,990.039.779.321.118,105.576.944.957.593,404.730.782.266.706,483.638.084.136.293,789.685.928.751.602,499.495.227.163.964,192.950.757.981.744,778.297.563.721.443,937.742.401.732.488,-14.442.369.855.115,384.884.040.664.976,128.875.208.991.121,Low Risk,Papua,No
2/12/2010,633.240.078.524.848,643.947.356.755.558,511.582.448.813.133,587.829.966.347.266,454.659.187.969.202,557.543.563.068.166,249.864.560.212.009,878.563.747.906.358,983.372.432.360.532,-103.842.659.036.389,283.127.538.902.095,NA,Low Risk,Papua,No
2/13/2010,905.208.538.386.582,818.985.038.555.072,561.009.645.715.822,568.595.141.204.984,636.290.189.866.778,635.354.405.108.687,186.744.062.269.572,724.678.219.935.163,11.052.809.218.391,299.626.937.856.453,337.230.049.922.837,110.589.008.072.456,Low Risk,Kalimantan,No
2/14/2010,69.994.146.268.443,429.832.909.391.607,443.979.511.193.465,692.652.126.555.327,6.692.706.659.891,436.269.398.366.869,403.671.402.060.427,952.838.539.748.526,116.656.910.447.405,507.661.906.987.359,331.105.064.761.857,105.757.058.335.571,Low Risk,Kalimantan,No
2/15/2010,110.526.540.943.067,944.708.039.184.189,185.007.829.039.823,765.004.952.651.486,395.639.621.034.555,417.272.243.803.935,184.057.974.123.862,895.225.432.376.149,116.995.448.708.697,104.799.263.827.377,421.448.590.067.852,126.996.155.452.261,Medium Risk,Papua,No
2/16/2010,978.121.501.213.129,662.284.141.077.241,583.775.662.761.182,77.044.527.456.823,506.845.435.265.473,520.327.301.016.723,234.571.333.592.758,733.559.347.404.116,147.689.102.085.724,100.835.366.002.017,351.764.687.783.801,114.673.313.248.168,Medium Risk,Kalimantan,No
2/17/2010,777.550.409.884.773,499.655.511.291.747,550.921.366.447.583,768.696.796.999.128,578.118.849.401.901,657.219.115.731.495,314.651.803.805.027,726.835.199.375.543,129.591.734.980.795,242.932.006.286.716,315.426.506.050.696,106.829.538.010.064,Medium Risk,Sulawesi,No
2/18/2010,993.885.199.368.612,915.135.235.768.578,239.717.934.343.498,773.144.146.419.783,549.285.236.432.543,548.469.591.450.587,31.958.837.370.621,794.381.480.785.325,108.605.281.549.879,507.183.223.044.724,404.239.642.022.144,NA,High Risk,Papua,No
2/19/2010,926.767.198.400.251,781.800.858.475.788,387.337.141.511.962,780.326.911.948.514,459.665.524.939.371,587.296.909.431.865,976.849.132.258.837,80.426.990.011.676,118.542.617.132.334,138.898.401.315.896,425.641.855.487.779,1.454.571.021.953,High Risk,Papua,No
2/20/2010,639.418.239.411.588,618.133.382.641.509,604.328.789.040.446,713.808.584.230.249,509.487.709.700.277,619.697.588.300.365,280.077.878.341.544,731.941.595.832.216,103.443.408.391.749,-225.298.576.087.421,268.763.566.044.228,837.040.505.402.307,Low Risk,Sulawesi,No
2/21/2010,812.883.971.147.257,701.635.668.831.161,448.764.030.316.379,721.033.921.060.652,770.203.857.657.399,313.812.499.356.996,358.051.077.208.947,690.682.409.462.667,115.855.565.396.415,510.868.987.147.551,383.692.805.366.721,160.564.854.767.268,Low Risk,Kalimantan,No
2/22/2010,68.249.014.433.615,522.729.474.404.285,642.751.331.778.709,725.424.122.503.721,775.391.688.791.736,422.034.898.887.345,151.282.493.895.851,767.339.266.189.112,113.748.357.389.358,348.630.873.779.902,314.345.125.316.772,136.321.699.940.937,Medium Risk,Papua,No
2/23/2010,930.891.561.842.513,615.032.844.551.289,220.944.563.010.707,820.418.227.557.735,121.317.454.873.324,458.222.014.419.742,25.879.766.545.957,8.897.588.252.659,151.356.398.294.739,149.438.597.041.722,369.513.574.715.301,123.147.253.590.891,Low Risk,Kalimantan,No
2/24/2010,733.934.838.178.784,856.745.246.587.602,253.788.476.677.146,772.408.327.946.511,379.853.049.062.366,499.264.119.187.084,123.929.635.395.762,90.055.826.309.935,856.654.695.315.825,550.890.724.758.351,312.669.421.517.983,126.318.540.406.598,Low Risk,Sulawesi,No
2/25/2010,808.343.915.834.028,874.599.628.690.824,305.221.157.949.418,485.734.174.605.777,997.269.949.987.383,464.534.783.956.724,243.178.994.203.918,854.757.721.242.485,924.244.522.083.809,810.912.973.733.519,324.254.521.512.334,134.495.406.517.574,Medium Risk,Papua,No
2/26/2010,627.453.757.939.833,49.948.084.393.129,196.514.900.724.869,59.164.363.542.527,461.460.008.714.904,442.058.464.287.963,318.400.504.805.613,809.410.099.833.611,104.575.626.323.306,-952.471.294.877.339,313.877.454.042.674,960.380.774.111.138,High Risk,Papua,No
2/27/2010,677.028.046.319.857,634.622.787.654.275,447.631.440.532.859,728.207.688.273.616,408.632.156.210.648,495.730.742.207.755,35.937.045.130.413,993.229.080.101.755,106.681.962.811.692,361.427.503.422.562,313.208.745.064.124,11.417.718.911.313,Low Risk,Papua,No
2/28/2010,874.112.130.682.521,825.750.290.626.682,415.078.923.285.473,832.940.651.773.403,717.408.412.725.706,493.724.273.144.867,311.114.744.211.081,785.992.477.561.095,105.856.714.869.472,-18.804.392.101.432,36.849.859.289.475,125.492.853.240.877,Low Risk,Papua,No
3/1/2010,670.170.509.865.529,830.341.218.238.177,562.306.143.091.992,558.840.793.274.011,588.638.441.532.069,475.166.621.531.751,210.521.693.523.042,82.016.545.551.042,807.102.544.285.951,883.500.886.823.424,293.838.306.542.319,NA,High Risk,Sulawesi,No
3/2/2010,824.535.275.653.622,728.840.420.978.814,286.842.587.762.512,874.029.400.031.649,693.463.799.302.698,583.603.657.679.335,147.194.622.766.692,775.530.509.193.718,113.129.740.327.285,507.361.642.552.281,342.985.450.628.048,11.286.921.079.231,Low Risk,Papua,No
3/3/2010,880.119.381.936.786,769.097.677.060.762,218.758.965.609.595,534.853.013.167.315,374.472.436.637.558,518.754.863.618.784,131.331.740.124.151,75.212.879.936.675,114.435.319.230.233,-111.478.350.576.905,355.741.538.345.566,NA,Medium Risk,Papua,No
3/4/2010,814.218.049.719.098,85.781.748.133.071,64.475.975.161.884,666.895.833.514.002,613.148.154.127.448,487.060.376.057.551,307.630.582.291.167,891.492.425.674.689,949.173.999.643.867,-250.187.749.100.676,332.489.191.736.879,107.300.972.256.733,Low Risk,Sulawesi,No
3/5/2010,797.582.706.143.423,882.236.327.259.575,31.027.371.666.627,836.810.998.778.539,522.748.196.925.235,NA,302.975.474.353.012,911.639.736.341.782,904.046.547.959.427,-108.118.799.307.144,353.762.770.911.371,121.627.773.050.278,High Risk,Sulawesi,No
3/6/2010,537.808.533.835.128,619.332.408.418.997,290.369.199.812.412,950.668.507.430.362,634.427.794.772.402,NA,300.131.539.497.524,802.530.967.927.438,868.368.143.704.963,70.508.769.195.629,293.288.648.119.043,806.897.104.779.987,Medium Risk,Papua,No
3/7/2010,800.908.900.288.131,82.193.431.715.653,544.463.709.325.064,539.335.305.144.276,696.500.549.576.546,582.505.074.701.184,802.348.757.541.217,668.223.926.607.838,974.419.589.948.336,-261.610.214.050.053,378.825.263.434.662,113.311.495.276.856,Medium Risk,Kalimantan,No
3/8/2010,526.012.693.294.572,552.830.009.776.974,618.949.363.923.166,770.436.143.156.649,713.520.625.678.771,664.658.702.511.139,14.072.106.750.682,727.838.821.633.088,87.668.782.215.762,-80.093.464.328.587,222.624.473.350.261,582.259.986.436.634,High Risk,Sulawesi,No
3/9/2010,105.749.337.582.455,856.120.922.483.101,319.490.733.612.329,648.346.577.209.866,384.206.825.027.896,588.555.070.111.132,292.954.254.916.403,683.930.600.408.074,123.521.496.561.185,-188.535.137.993.466,39.668.284.224.717,129.170.289.541.647,Low Risk,Kalimantan,No
3/10/2010,669.402.492.593.439,62.280.900.726.397,241.657.156.853.471,562.521.806.408.581,47.380.980.410.301,529.177.306.000.517,227.125.198.384.747,81.671.080.160.301,107.481.183.603.005,-521.650.972.040.779,29.171.606.643.145,827.273.137.378.185,Low Risk,Papua,No
3/11/2010,876.677.807.972.657,698.822.316.308.257,565.343.134.850.264,630.631.896.573.375,653.154.633.453.515,665.971.233.571.274,370.758.121.849.503,962.902.514.361.337,125.450.745.849.671,632.147.344.810.612,32.991.034.846.857,994.123.176.365.693,High Risk,Sulawesi,No
3/12/2010,943.509.402.534.852,551.008.380.219.983,46.326.558.847.446,674.810.712.621.687,673.101.148.358.118,NA,327.204.072.196.037,779.059.011.080.085,157.251.567.089.142,308.066.811.256.372,406.192.405.665.483,148.283.340.561.648,High Risk,Papua,No
3/13/2010,850.978.533.005.637,856.891.101.699.389,618.362.145.172.432,610.826.264.662.119,538.296.174.293.553,466.157.209.507.662,17.737.881.654.175,856.238.080.326.454,993.099.976.552.415,11.674.189.469.904,328.497.412.486.501,115.801.817.767.907,Low Risk,Sulawesi,No
3/14/2010,109.246.375.023.771,863.327.516.364.639,466.688.110.653.777,651.746.548.575.548,290.802.188.541.302,640.307.202.398.771,287.893.443.487.119,758.205.161.628.292,126.541.055.338.759,433.679.420.278.627,39.219.891.727.598,134.551.176.753.524,Low Risk,Sulawesi,No
3/15/2010,697.533.984.886.721,457.158.778.488.657,569.629.091.576.207,662.484.223.858.674,76.087.177.889.873,333.433.300.634.339,347.368.993.910.495,73.170.686.960.127,116.255.664.147.787,-153.314.843.403.859,35.341.821.544.616,123.395.345.067.615,Medium Risk,Papua,No
3/16/2010,929.811.643.116.839,884.381.522.843.712,5.109.500.163.747,661.042.426.029.043,628.613.416.234.873,61.768.592.961.417,182.527.592.810.802,784.587.097.852.071,105.136.936.842.263,484.559.163.396.725,337.626.769.578.643,11.349.538.949.026,High Risk,Kalimantan,No
3/17/2010,674.113.095.701.804,53.193.721.744.567,295.281.922.123.395,761.303.914.397.846,279.867.020.124.031,422.867.763.758.321,166.408.320.267.219,64.290.138.645.203,112.352.182.616.967,-683.926.496.710.714,324.485.362.308.917,981.087.431.135.086,Medium Risk,Papua,No
3/18/2010,123.240.840.439.245,66.561.182.722.003,383.119.573.534.932,791.955.848.684.623,625.413.851.039.806,519.175.220.492.547,227.721.369.399.223,794.225.760.950.371,185.154.222.625.472,-631.134.220.436.902,460.424.756.722.331,17.784.773.754.558,Low Risk,Sulawesi,No
3/19/2010,973.785.812.901.077,746.693.267.133.656,640.279.093.366.116,706.510.631.822.137,535.392.524.096.898,430.563.032.961.261,106.092.262.202.874,693.751.264.420.953,130.413.096.751.115,-769.378.851.852.959,363.274.516.634.867,116.252.453.694.357,Low Risk,Papua,No
3/20/2010,788.193.720.367.529,40,250.262.230.781.373,790.446.943.497.364,483.575.243.351.871,431.149.333.698.995,331.866.468.633.525,880.764.478.426.685,131.365.620.061.255,119.006.288.645.523,35.692.525.041.332,131.088.095.831.189,Medium Risk,Sulawesi,No
3/21/2010,99.133.050.508.131,908.909.744.809.464,199.723.974.198.569,574.089.207.730.954,32.948.617.185.602,483.603.868.340.173,272.091.279.763.369,784.547.829.203.077,109.068.090.725.458,-991.634.257.013.996,372.256.581.942.655,133.262.702.739.864,Low Risk,Kalimantan,No
3/22/2010,641.996.057.061.307,40,NA,699.961.553.294.532,735.523.846.778.851,394.391.111.015.725,184.966.345.725.115,826.789.138.791.134,106.999.342.843.551,276.987.399.949.258,317.408.498.051.361,919.117.363.673.275,Low Risk,Sulawesi,No
3/23/2010,112.160.494.235.069,104.228.988.499.546,313.001.726.649.236,50.051.092.271.365,179.076.771.015.608,499.065.586.273.552,301.421.275.602.188,853.024.732.272.093,10.760.969.270.613,-428.735.510.461.644,417.874.771.793.077,145.279.721.732.656,Low Risk,Kalimantan,No
3/24/2010,642.010.691.153.676,514.222.101.186.463,313.153.184.235.562,723.913.035.312.239,554.331.898.926.112,613.749.562.777.888,304.018.967.638.258,725.827.180.990.482,107.001.781.858.946,-160.927.165.196.915,317.638.705.038.283,904.228.963.102.978,Low Risk,Papua,No
3/25/2010,569.773.874.162.797,67.495.143.636.511,449.470.564.099.029,918.502.667.260.368,567.648.148.846.973,394.325.406.543.766,35.359.104.322.968,970.809.196.019.125,844.170.177.977.934,-114.539.614.531.531,310.659.897.343.839,103.727.529.614.925,Low Risk,Kalimantan,No
3/26/2010,84.005.537.345.976,516.156.581.581.887,544.264.891.354.833,482.317.065.517.726,470.169.439.119.913,409.807.466.220.176,19.003.011.157.969,905.518.396.052.188,14.000.922.890.996,-987.306.461.429.333,347.664.098.621.543,110.641.907.892.286,Medium Risk,Kalimantan,No
3/27/2010,100.285.476.928.649,807.991.747.118.219,NA,623.307.792.712.362,529.021.492.479.236,427.588.792.962.411,29.988.173.696.911,807.463.478.698.838,124.116.956.994.087,255.600.818.462.027,390.700.709.522.116,137.520.252.459.715,High Risk,Papua,No
3/28/2010,848.002.589.949.341,555.586.199.105.169,197.859.957.076.143,762.278.474.721.312,368.238.066.761.932,525.998.535.327.597,228.260.299.845.133,802.959.713.805.665,141.333.764.991.557,873.448.031.091.942,354.624.414.117.073,110.814.778.390.667,Low Risk,Papua,No
3/29/2010,713.143.510.279.471,86.242.032.348.361,238.125.854.616.519,600.539.877.337.846,359.871.503.546.414,538.600.494.750.326,306.943.605.034.612,770.723.011.403.652,826.909.444.108.229,318.079.809.101.318,304.636.007.715.031,888.375.558.039.963,Medium Risk,Sulawesi,No
3/30/2010,106.164.386.530.172,599.906.611.044.818,599.090.112.517.588,534.137.756.638.268,497.189.567.043.676,506.006.793.059.055,302.788.594.029.844,761.131.810.432.107,176.940.644.216.954,715.509.439.097.801,404.563.993.284.186,142.933.438.676.198,Low Risk,Kalimantan,No
3/31/2010,128.460.094.762.626,123.500.244.316.755,356.864.011.799.917,89.060.745.802.771,580.620.008.622.335,487.999.904.108.701,366.315.058.835.316,898.326.172.367.728,104.016.065.290.648,643.110.919.767.742,482.038.171.859.978,17.949.764.851.456,Medium Risk,Papua,No
4/1/2010,497.467.701.719.296,5.218.589.868.533,522.810.219.859.239,629.077.801.644.225,609.667.798.057.079,372.682.252.475.639,104.251.387.403.347,87.079.499.519.032,829.112.836.198.827,714.267.267.525.981,259.546.486.925.117,816.020.778.423.602,Low Risk,Kalimantan,No
4/2/2010,111.524.618.081.736,878.608.728.426.199,392.671.107.403.003,763.864.642.405.183,534.230.390.750.464,558.271.616.637.199,131.895.053.491.462,841.295.778.796.978,126.933.200.722.356,10.142.725.523.171,404.389.898.494.961,106.503.594.364.411,Low Risk,Kalimantan,No
4/3/2010,764.520.886.930.229,615.234.775.064.073,635.233.956.985.176,61.843.698.723.421,653.110.257.566.084,637.750.274.598.102,162.565.446.000.081,868.731.486.929.274,124.264.901.451.744,898.307.492.259.159,290.796.233.883.642,953.363.620.914.086,High Risk,Sulawesi,No
4/4/2010,102.661.077.708.146,102.399.847.518.906,486.957.486.525.644,91.611.505.811.888,472.142.679.660.753,325.303.045.423.512,141.136.340.748.053,617.325.433.594.733,100.255.107.986.554,63.147.362.188.389,396.891.639.710.979,NA,Medium Risk,Kalimantan,No
4/5/2010,521.616.060.483.419,503.300.716.638.735,29.233.753.234.148,545.953.930.456.409,268.534.556.529.155,NA,302.010.776.263.196,767.883.713.054.153,869.360.100.805.698,100.348.383.167.543,276.321.352.882.238,741.500.610.516.811,Medium Risk,Kalimantan,No
4/6/2010,803.090.052.876.592,708.401.020.246.263,193.837.205.856.107,879.457.127.321.638,52.267.698.105.842,34.373.976.418.408,390.539.863.931.481,100,113.366.586.145.996,8.402.709.905.302,391.700.618.027.585,141.390.249.230.404,High Risk,Kalimantan,No
4/7/2010,677.407.843.736.741,570.241.777.897.006,300.212.030.627.299,725.047.709.702.743,39.546.609.052.815,593.794.291.181.536,338.518.052.527.215,690.287.669.177.605,112.901.307.289.457,990.232.814.846.416,309.028.541.841.113,101.202.980.133.678,Low Risk,Sulawesi,No
4/8/2010,761.746.772.188.026,40,340.320.370.930.713,673.806.510.740.513,701.434.358.082.266,605.759.685.121.308,211.519.414.975.774,800.964.197.218.519,126.957.795.364.671,340.336.070.598.976,340.034.324.809.594,122.366.239.629.808,Low Risk,Sulawesi,No
